id,contents,viewers,time
wkdtmddl5959, 이거 그냥 솔랭임?,"10,408",21:47
팅커테일러솔져스파이 (colatak4), 트런들이 진짜 지금 정글폭중에 제일 나은거같아,"10,408",21:47
gogomango329, 그냥가엔쓰자,"10,408",21:47
인사성박살난사람 (tock132), 지금이 런들이하기 딱 좋았는데,"10,408",21:47
국내산치즈 (mhgudrhkd), ㅇㅇㅇ,"10,408",21:47
침묵하는트수 (silent_viewers), 솔랭요,"10,408",21:47
상안가든 (nap9048), 실버애들은 컵라면먹으면서 한손으로해도 농락가능,"10,408",21:47
머리뚜드린다 (po0wer), 산책시작,"10,408",21:47
z0x0c9v8b7, 국밥 정글러 트런들 ㅇㅈ,"10,408",21:47
밍밍이_ (sini3549), ㅇㅇ솔랭,"9,667",21:48
zeeh1124, 오늘 11시 뭐하나요?,"9,667",21:48
올민첩 (alldex98)," eq플 잘썼는데 어쩌다,.,,,","9,667",21:48
캭캭 (kyakkyak), ㅎㅇㅌ,"9,667",21:48
킹성태 (thezillian), 야방시작,"9,667",21:48
z0x0c9v8b7, 다른팀 봐도 죄다 트런들,"9,667",21:48
랄크 (blacklunat), 점멸 아까우니까 2렙갱 eq플 쓰자,"9,667",21:48
코크모의모험 (kogmaws_adventure), ㅇㄱㅇ,"9,660",21:48
늘상_ (neul5ang), ㅇㅋ,"9,660",21:48
사무리 (tkafl), ㅇㅋㅇㅋ,"9,660",21:48
wkdtmddl5959, 어떻게 근데 딱 챔이 다 잘쓰는거 했네 ㅋㅋㅋ,"9,660",21:48
dustn0958, ㅇㄱㅇ,"9,660",21:48
오늘엔왠지 (owhentoday), 오,"9,660",21:48
s801212, 트런들 플레급,"9,660",21:48
글루덴 (glueden), rnt,"9,660",21:48
천사짱 (1004jjang), 오,"9,660",21:48
머리뚜드린다 (po0wer), 트런들이 젤 핫함,"9,660",21:48
tlseogksdlek, 야방시작 ㅋㅋㅋㅋ,"9,660",21:48
글루덴 (glueden), 굿,"9,660",21:48
검은구름 (winluck05), 츄럴츄럴,"9,660",21:48
백규리 (paks321), 오늘 팀연습없음?,"9,660",21:48
말뚝이탈 (wkd9wkd2), bct가 무슨뜻이에요 님들??,"9,660",21:48
ssol666, 오늘 신짜오 출격하나요?,"9,660",21:48
GamePainz, 자르반 승률이 대개 않좋내,"9,660",21:48
상안가든 (nap9048), bct = 벌레컷,"9,660",21:48
캭캭 (kyakkyak), 걷기방송일까?,"9,660",21:48
이세계가고싶어죽은조강현 (sh08202), 블랙 크로커다일 티어,"9,660",21:48
zeeh1124, bug cut,"9,660",21:48
alstlrdl32, bct = 빛성태,"9,654",21:48
최살구 (djwls1219), 트런들은 ㄹㅇ 잘하시던데,"9,654",21:48
장례식육개장도둑공혁준 (abuq138k), LGBT비슷한겁니다,"9,654",21:48
GamePainz, 요새 자르반 별룬가벼,"9,654",21:48
케이시윤겔라후딘 (jinemom), 오늘 11시부터 하실껄요?악어님 늦으셔서,"9,654",21:48
말뚝이탈 (wkd9wkd2), ㅋㅋㅋㅋㅋㅋㅋ,"9,654",21:48
vertake, 검은악어의눈물 bct,"9,654",21:48
gogomango329, 칸짜오보고싶다,"9,654",21:48
검은구름 (winluck05), 그 동선,"9,654",21:48
새운메우깡 (hako1357), 전술훈련,"9,654",21:48
밥고래 (kim561), 버러지컷이요,"9,654",21:48
kyw0820, 황제리쉬,"9,654",21:48
bowbykim, 미는 라인인데,"9,654",21:48
qorwlszz, 경험치 스틸 ㄱㄱ,"9,654",21:48
건강한트롤 (jeonjh1212), 조이 쥰내게 미는데요,"9,654",21:48
마자팬치 (dmltk72), 버러지 커트,"9,654",21:48
dpttpstmrnrdj, 2렙갱 국룰,"9,654",21:48
검은구름 (winluck05), 퇴장카드,"9,654",21:48
머리뚜드린다 (po0wer), 따봉,"9,654",21:48
팅커테일러솔져스파이 (colatak4), 딜갱만,"9,654",21:48
z0x0c9v8b7, 못띠웠다,"9,654",21:48
나나미치아키쨩 (mashimaro090), 굿,"9,654",21:48
gogomango329, 굿,"9,654",21:48
디아불로 (gusrb323), 굳,"9,654",21:48
별이지다 (tjdgh55401), zzzzz,"9,654",21:48
이세계가고싶어죽은조강현 (sh08202), 겐세이,"9,654",21:48
락락이 (hihi1124), 딜갱 굿,"9,654",21:48
daying4332, 좋아하네,"9,654",21:48
bowbykim, 짜릿,"9,654",21:48
올민첩 (alldex98), 굳,"9,654",21:48
